ISO,Negative_Morphemes
kgr,2.0
gdo,1.0
bzd,0.0
rkb,0.0
tma,1.0
bwe,2.0
nut,3.0
knm,1.0
nyo,1.0
bri,1.0
bod,1.0
acu,1.0
maq,1.0
trp,1.0
gaa,1.0
kyq,0.0
bdm,0.0
abk,1.0
mbc,0.0
bwu,2.0
opm,0.0
byw,1.0
mcd,1.0
duc,5.0
nid,1.0
nbc,1.0
duu,1.0
ngo,5.0
pbr,1.0
ven,1.0
gru,1.0
imi,2.0
siw,1.0
buf,1.0
klr,1.0
mco,0.0
mzm,0.0
acv,4.0
bqp,3.0
wnw,2.0
tzm,0.0
set,1.0
oss,0.0
irh,0.0
chp,0.0
alp,0.0
mil,0.0
kut,0.0
nxg,3.0
tun,1.0
lgu,3.0
tcf,1.0
ksi,0.0
sot,0.0
nll,4.0
eng,0.0
bip,1.0
ogo,0.0
ajg,0.0
bim,0.0
kto,0.0
nse,0.0
poe,1.0
buh,3.0
pan,0.0
amh,2.0
uig,1.0
drl,0.0
kcr,2.0
xra,1.0
mky,0.0
ons,0.0
tya,0.0
kff,1.0
cop,1.0
agb,1.0
wba,1.0
cho,1.0
mur,0.0
sis,0.0
iqu,0.0
kpv,4.0
ker,0.0
ctd,0.0
paw,1.0
asm,1.0
tli,0.0
xsi,0.0
tqw,1.0
naq,0.0
efi,1.0
wao,1.0
mcp,2.0
eno,0.0
yia,0.0
mrt,0.0
mfi,1.0
car,1.0
ekg,0.0
spp,0.0
prx,1.0
eip,0.0
chx,1.0
sja,1.0
cbr,1.0
chf,0.0
afb,0.0
lep,2.0
dsh,2.0
mam,0.0
ttr,0.0
pon,0.0
klq,1.0
pjt,5.0
yae,1.0
emp,1.0
tdh,2.0
jup,1.0
kca,0.0
mpc,0.0
ulk,0.0
chl,0.0
djj,0.0
lue,2.0
avt,0.0
baa,3.0
mrg,1.0
rwa,0.0
peb,1.0
kgo,2.0
nsz,1.0
lhm,5.0
naf,0.0
bdu,1.0
njb,1.0
mxp,5.0
mnc,1.0
kpw,1.0
ssd,4.0
cof,1.0
lnb,0.0
hid,1.0
kki,1.0
gcd,2.0
mdq,2.0
aoj,2.0
awb,0.0
hur,4.0
tae,1.0
mhk,0.0
klj,1.0
yaq,0.0
ilb,1.0
gkn,0.0
mjw,1.0
kxa,0.0
khr,0.0
pad,5.0
cku,1.0
sgw,1.0
itl,2.0
lui,0.0
bca,3.0
huu,1.0
bfd,2.0
shs,0.0
plt,0.0
dif,0.0
kpy,2.0
ign,4.0
lml,2.0
tnl,2.0
taq,0.0
kpx,1.0
xwg,4.0
qum,0.0
wnd,1.0
tzo,0.0
rug,0.0
ntj,1.0
par,0.0
xtc,0.0
prn,5.0
tue,1.0
min,3.0
kms,0.0
aty,0.0
wol,3.0
kky,0.0
mgr,1.0
xam,0.0
aiw,1.0
cid,1.0
tuo,1.0
kij,0.0
bli,1.0
bej,1.0
myv,0.0
tdn,0.0
mym,1.0
sza,0.0
tee,0.0
ses,0.0
tlj,1.0
zga,1.0
xsr,1.0
acm,1.0
khk,1.0
bds,1.0
mok,0.0
ain,0.0
isl,0.0
ese,0.0
nsn,0.0
pwa,0.0
kvg,1.0
nck,0.0
sip,3.0
kzj,0.0
bor,1.0
iba,3.0
kal,1.0
agg,1.0
ctp,0.0
mdm,0.0
sah,1.0
hmt,1.0
kcu,1.0
ogu,1.0
yor,3.0
anc,3.0
gvf,1.0
lea,1.0
snf,1.0
mez,2.0
ard,0.0
snk,0.0
luo,0.0
apw,2.0
inh,1.0
kab,2.0
tml,0.0
zay,1.0
apy,1.0
cui,2.0
mej,0.0
dbl,0.0
huz,1.0
muz,0.0
xal,0.0
iai,3.0
kwd,0.0
crw,3.0
amc,1.0
wal,1.0
csz,0.0
kam,1.0
abt,0.0
nxn,0.0
xbi,4.0
wrr,0.0
brh,1.0
cod,3.0
lac,0.0
yad,0.0
tri,1.0
wdj,3.0
nia,3.0
bak,1.0
gyd,1.0
adz,1.0
mkj,0.0
zoc,4.0
sif,0.0
kot,0.0
xac,1.0
ary,2.0
lef,1.0
kwn,0.0
kjd,2.0
pao,0.0
bot,0.0
ybi,1.0
wmb,0.0
skd,0.0
kwy,2.0
sce,0.0
niv,1.0
shi,5.0
dhr,0.0
pqm,2.0
aph,1.0
nak,4.0
mhj,0.0
new,1.0
laj,0.0
wya,0.0
chb,1.0
dis,1.0
ykg,1.0
mpe,4.0
kgq,1.0
amp,0.0
axb,0.0
nas,5.0
gey,1.0
vnm,2.0
clo,0.0
gww,0.0
pom,2.0
dag,0.0
fon,3.0
agt,4.0
udi,1.0
heb,0.0
bgr,3.0
aly,1.0
sun,3.0
gmm,0.0
gbd,0.0
kng,2.0
wnu,0.0
agq,0.0
dus,1.0
mas,0.0
bbl,0.0
jar,0.0
nzm,0.0
kqi,1.0
kma,0.0
msj,2.0
wim,0.0
bzf,2.0
mig,0.0
mek,1.0
tsz,0.0
nso,2.0
dih,4.0
zul,1.0
zmc,0.0
kwi,2.0
sjg,1.0
kfy,0.0
szp,1.0
ane,3.0
khe,2.0
dru,4.0
ifm,2.0
rmt,5.0
tuv,1.0
tiw,0.0
mcb,0.0
mgd,0.0
kgg,1.0
krc,5.0
tvo,0.0
pav,3.0
wlg,2.0
wax,1.0
sua,1.0
lkr,0.0
tbh,0.0
aun,0.0
pid,1.0
cme,3.0
auc,1.0
dmk,0.0
waw,1.0
dga,0.0
asu,2.0
yon,0.0
udl,0.0
smr,0.0
lae,1.0
tzj,0.0
ssn,2.0
khq,3.0
llp,0.0
azb,1.0
dim,1.0
cle,0.0
mnb,0.0
wrz,0.0
com,0.0
led,0.0
xom,4.0
hil,0.0
mfc,0.0
tro,1.0
kkk,3.0
grt,1.0
qvi,0.0
mtg,0.0
cco,1.0
mso,2.0
aka,1.0
mec,0.0
csw,0.0
lrg,0.0
pes,1.0
der,1.0
rap,3.0
van,0.0
sku,1.0
rgr,0.0
mva,0.0
nto,1.0
sbc,0.0
snn,1.0
pwg,0.0
mnx,0.0
nig,1.0
tnm,2.0
wiy,0.0
snc,0.0
gil,3.0
mgf,0.0
brm,1.0
heh,1.0
bzr,0.0
nyh,0.0
did,4.0
ank,3.0
som,0.0
zun,2.0
akc,0.0
clk,1.0
nih,1.0
ocu,1.0
kac,3.0
gaj,0.0
jiv,1.0
tgc,3.0
ayc,0.0
ssw,2.0
amo,2.0
lbj,1.0
nmm,1.0
gbp,0.0
rou,1.0
tah,0.0
tkm,0.0
omb,2.0
dgl,1.0
huv,0.0
mal,1.0
nmf,1.0
ude,4.0
des,1.0
mdi,1.0
tap,1.0
psa,2.0
nym,1.0
tmd,1.0
niy,0.0
hke,1.0
puw,0.0
nnk,0.0
lbu,0.0
zpq,0.0
les,1.0
ona,4.0
mme,3.0
dji,0.0
jel,0.0
dhi,1.0
cbc,1.0
sid,0.0
wib,0.0
mpq,1.0
nio,4.0
nnb,1.0
cak,2.0
cub,1.0
oaa,1.0
kdj,5.0
thp,0.0
yur,0.0
bvz,0.0
caq,0.0
jaq,2.0
woi,1.0
kah,0.0
wms,1.0
tso,0.0
suk,2.0
ygr,1.0
peh,0.0
fuu,0.0
pip,2.0
nyn,1.0
mos,2.0
kbx,1.0
gdm,0.0
kay,1.0
njo,1.0
bci,2.0
log,0.0
zaw,1.0
sad,1.0
vay,0.0
men,0.0
ava,4.0
mnz,0.0
ige,0.0
bnc,4.0
kmo,1.0
lmn,0.0
zag,1.0
mlp,1.0
hmr,3.0
gbu,0.0
noa,1.0
klb,0.0
roh,0.0
bid,2.0
lti,1.0
lub,1.0
cdm,1.0
adt,0.0
xho,1.0
tbg,0.0
shp,1.0
nab,1.0
tbc,0.0
kas,1.0
tio,2.0
lkt,0.0
meu,0.0
nmu,1.0
tkw,0.0
agh,1.0
xcw,1.0
msu,0.0
bag,1.0
nzk,0.0
squ,4.0
mpt,1.0
hus,3.0
abz,4.0
wbl,0.0
mch,1.0
bex,0.0
mie,0.0
yuj,5.0
mjd,1.0
bav,2.0
cbi,1.0
adi,1.0
tea,0.0
nmd,2.0
lmu,2.0
jqr,0.0
lez,1.0
var,0.0
erk,2.0
kle,1.0
nko,1.0
bcm,0.0
kwo,0.0
wbv,5.0
adx,1.0
mcn,0.0
kjq,0.0
tcb,2.0
mio,0.0
cko,0.0
hnh,0.0
tcy,1.0
ram,0.0
vma,0.0
amn,2.0
tbd,0.0
yap,0.0
aro,2.0
gug,2.0
sst,1.0
mns,0.0
oym,2.0
okv,5.0
ute,1.0
ewo,0.0
mxx,3.0
urt,0.0
mhr,4.0
mev,4.0
osa,0.0
fvr,2.0
wic,0.0
pue,1.0
sob,0.0
cyb,1.0
mye,0.0
cup,0.0
dyy,0.0
rim,1.0
one,0.0
aoi,0.0
swh,1.0
esu,1.0
myp,1.0
tob,1.0
woe,3.0
mrz,0.0
kyz,1.0
ngi,0.0
snp,1.0
mzh,0.0
mgp,1.0
rtm,2.0
ori,1.0
tpj,1.0
wsa,0.0
zne,2.0
opt,0.0
kna,2.0
kfk,0.0
suq,0.0
moh,0.0
tem,1.0
khg,1.0
mgw,0.0
eve,2.0
pau,0.0
haw,0.0
adj,1.0
jle,2.0
aij,0.0
mdj,0.0
guj,0.0
wme,1.0
sps,4.0
nhg,0.0
ahk,3.0
kld,0.0
cmn,0.0
can,2.0
sbs,2.0
emi,0.0
bco,1.0
kha,3.0
nob,0.0
lvk,5.0
waq,0.0
psw,1.0
bvr,0.0
tbi,0.0
anz,0.0
buo,0.0
gvs,0.0
yrk,4.0
sme,4.0
gnr,0.0
amk,0.0
fut,4.0
nrz,0.0
kla,0.0
hae,2.0
jig,0.0
dju,1.0
ann,1.0
wsk,0.0
mde,1.0
rit,1.0
ayz,0.0
tus,0.0
isi,0.0
izz,2.0
yuy,0.0
hia,0.0
srb,1.0
mpb,0.0
srs,0.0
otr,2.0
ong,0.0
sbu,1.0
apr,0.0
kde,1.0
mkf,2.0
usa,1.0
old,1.0
mna,3.0
tex,0.0
dds,1.0
uwa,0.0
bmi,0.0
nyi,0.0
css,0.0
slc,1.0
cbu,1.0
nrb,0.0
cha,0.0
ksw,2.0
bcq,1.0
chv,1.0
bom,0.0
yao,1.0
qui,4.0
jae,0.0
ktd,5.0
bla,1.0
shk,0.0
twf,1.0
bdh,0.0
gae,2.0
mnr,0.0
zmr,0.0
tar,0.0
yaa,1.0
dgz,0.0
hto,1.0
yii,0.0
bxm,1.0
lun,2.0
ung,0.0
thf,1.0
