ISO,"Position_of_Negative_Word_With_Respect_to_Subject,_Object,_and_Verb"
taq,6.0
xcw,0.0
dhi,0.0
bot,6.0
mgp,0.0
kms,9.0
apw,3.0
mua,5.0
toi,0.0
djk,2.0
ude,7.0
mgl,5.0
hoo,0.0
haw,8.0
cam,10.0
lkt,9.0
thd,7.0
pan,7.0
arr,9.0
agh,0.0
mdt,6.0
aom,1.0
cod,13.0
tlb,0.0
arh,0.0
dud,5.0
miq,0.0
bqc,6.0
dsh,3.0
wal,0.0
nxg,1.0
kvn,0.0
pid,0.0
gkn,2.0
kwy,3.0
sst,0.0
sur,6.0
yul,15.0
nlg,10.0
tap,0.0
cbi,0.0
ajg,4.0
lub,0.0
tel,0.0
lez,0.0
bcm,2.0
fla,8.0
rao,0.0
tma,0.0
awb,7.0
mbq,3.0
tbc,7.0
aes,1.0
siw,0.0
dhv,4.0
sps,2.0
mna,5.0
ahg,0.0
aij,7.0
tob,0.0
kwi,3.0
vma,2.0
tiv,5.0
mnx,5.0
lbu,5.0
mal,0.0
fvr,3.0
gug,3.0
wed,1.0
mam,8.0
teo,13.0
abz,9.0
svs,1.0
ewo,6.0
mos,3.0
trv,10.0
nio,7.0
anu,1.0
did,8.0
bam,11.0
sag,5.0
cja,5.0
log,4.0
tun,0.0
rim,0.0
uwa,1.0
snq,0.0
sbu,0.0
kio,3.0
aiw,0.0
swh,0.0
ood,1.0
myp,0.0
sgw,0.0
sua,0.0
mkf,3.0
nzk,5.0
ttr,6.0
nen,2.0
muz,7.0
qvi,4.0
bni,3.0
iba,1.0
tpj,0.0
mrh,1.0
vnm,0.0
zne,3.0
fuu,5.0
nrb,7.0
viv,7.0
van,2.0
xal,4.0
kwd,2.0
spu,2.0
wme,0.0
alc,1.0
woa,3.0
luo,4.0
wol,4.0
nbl,0.0
mdj,4.0
bds,0.0
chx,0.0
ctd,1.0
oon,9.0
hid,0.0
chl,7.0
emp,0.0
men,1.0
cmn,2.0
wya,19.0
iii,1.0
nnm,0.0
msu,1.0
irk,0.0
aka,0.0
lvk,4.0
lea,0.0
ilb,0.0
osa,9.0
enn,0.0
kup,0.0
nmm,0.0
krc,4.0
unr,7.0
rtm,3.0
gvo,1.0
bzr,4.0
twf,0.0
pbi,17.0
tlj,0.0
nas,4.0
hae,3.0
ogo,2.0
ach,4.0
nya,0.0
lgg,4.0
xuu,18.0
ayz,5.0
ncl,2.0
jya,0.0
hoa,8.0
suk,0.0
drd,0.0
szg,3.0
qui,8.0
lch,0.0
urt,6.0
myv,1.0
tzo,10.0
khg,0.0
tta,3.0
rgr,12.0
cha,8.0
ddo,9.0
pym,6.0
der,0.0
brx,4.0
okv,4.0
pao,12.0
pwg,7.0
aro,3.0
bdu,0.0
dni,9.0
tay,1.0
uli,2.0
bgr,9.0
cdn,1.0
hei,8.0
