ISO,Expression_of_Pronominal_Subjects
amp,0.0
wmb,2.0
pao,1.0
ncg,2.0
tbd,0.0
kio,0.0
grt,3.0
loj,2.0
bli,0.0
nnm,1.0
krc,0.0
ito,0.0
bla,5.0
wol,2.0
sbe,0.0
cla,2.0
krs,0.0
frs,1.0
mpc,0.0
tcb,0.0
uby,0.0
cnh,2.0
nrz,0.0
bzr,0.0
esu,0.0
dim,0.0
ksb,0.0
ood,5.0
fuu,0.0
kir,0.0
chf,0.0
zaw,0.0
mur,0.0
nbm,1.0
ote,0.0
lhu,3.0
apc,0.0
mym,0.0
nhg,0.0
alp,4.0
min,3.0
ann,0.0
bhw,0.0
wya,0.0
zmr,0.0
mnb,0.0
saj,1.0
moh,0.0
bae,0.0
kkk,2.0
bum,2.0
xuu,3.0
agg,0.0
tiv,2.0
baa,1.0
tun,0.0
plg,0.0
rmt,0.0
ocu,0.0
ewo,0.0
xbr,0.0
imn,3.0
dru,0.0
dyo,0.0
bag,0.0
arr,4.0
pss,4.0
kbc,0.0
hke,0.0
chl,0.0
cav,4.0
css,5.0
gge,0.0
yle,0.0
hto,0.0
sps,1.0
duc,3.0
nez,0.0
ngi,2.0
chx,3.0
var,5.0
bcm,2.0
mpe,0.0
lef,0.0
tqw,0.0
mal,3.0
myb,0.0
mez,5.0
mcn,3.0
tgc,2.0
kup,0.0
lep,1.0
dju,0.0
mqs,0.0
gbu,0.0
gdq,0.0
mva,0.0
ayc,0.0
cyb,0.0
efi,0.0
xas,0.0
kms,0.0
naf,0.0
erg,0.0
tzn,0.0
akc,0.0
sot,2.0
myh,5.0
ury,2.0
wra,0.0
bds,2.0
bio,0.0
gyd,3.0
wnu,0.0
ura,0.0
szg,0.0
eky,3.0
apw,0.0
grj,2.0
kwi,0.0
cir,2.0
pwn,0.0
ndv,1.0
inh,1.0
byw,0.0
mns,0.0
bcq,2.0
hmt,0.0
hae,0.0
pav,2.0
knc,0.0
kmn,3.0
khq,1.0
gae,0.0
nso,0.0
isi,2.0
yao,0.0
tfr,0.0
waw,0.0
com,5.0
lue,0.0
ogo,0.0
tap,0.0
ncj,0.0
mik,0.0
dow,4.0
mch,0.0
snk,1.0
mni,3.0
nju,1.0
yuj,1.0
gcd,5.0
srs,0.0
aty,1.0
kqz,5.0
ifb,0.0
sei,0.0
hei,5.0
teu,0.0
evn,1.0
ven,0.0
urb,0.0
qum,0.0
clo,0.0
kpw,0.0
lvk,0.0
bor,0.0
pqm,5.0
ckt,0.0
paw,0.0
ntp,4.0
rug,1.0
wgy,3.0
nak,3.0
sid,0.0
amk,0.0
aiw,0.0
yuc,0.0
tml,0.0
awb,0.0
tli,0.0
poy,0.0
nce,0.0
ktz,1.0
kal,0.0
dih,0.0
kut,2.0
toi,0.0
kwo,0.0
ikx,0.0
mjg,3.0
yad,5.0
kxa,0.0
mos,1.0
iba,1.0
npa,3.0
dds,0.0
ayo,0.0
cid,0.0
njo,1.0
tya,0.0
kyc,0.0
jbu,1.0
wbv,5.0
bej,0.0
guk,0.0
cmn,3.0
nyh,0.0
kbp,3.0
ses,1.0
ary,0.0
rap,3.0
hmr,2.0
glu,0.0
plu,1.0
cup,4.0
dgz,0.0
mug,2.0
bas,1.0
kgs,3.0
chr,0.0
swh,0.0
sel,0.0
emi,2.0
woe,2.0
mkf,2.0
mgr,0.0
hay,0.0
rim,0.0
stp,0.0
blc,0.0
heh,0.0
aja,0.0
lif,0.0
wsa,0.0
lil,0.0
one,0.0
tta,0.0
wed,2.0
gde,1.0
bsk,0.0
bfw,0.0
csy,2.0
mas,0.0
ssd,0.0
kgr,1.0
tpt,0.0
tnm,1.0
bqp,1.0
urk,3.0
yij,3.0
fvr,0.0
nav,0.0
gaa,0.0
squ,0.0
klq,3.0
gaj,0.0
pym,2.0
xwg,0.0
niy,0.0
mep,0.0
yor,3.0
tzm,0.0
sza,0.0
vay,0.0
nyn,0.0
cgg,0.0
