ISO,Position_of_Tense-Aspect_Affixes
dif,0.0
mjg,0.0
wdj,1.0
ape,2.0
guc,0.0
ibo,0.0
khl,2.0
hch,0.0
bae,0.0
ker,0.0
mxx,1.0
jbu,1.0
dyo,3.0
kah,0.0
aer,0.0
ckt,3.0
kgg,0.0
auc,0.0
wog,0.0
tdh,0.0
nmu,0.0
mhq,0.0
car,0.0
ekg,0.0
spp,3.0
bdu,3.0
zag,3.0
kij,2.0
adn,1.0
mlp,3.0
miq,0.0
lep,0.0
mus,0.0
hus,1.0
tuv,2.0
lww,2.0
oma,0.0
myh,0.0
ran,1.0
mgp,0.0
mar,0.0
ain,0.0
jet,0.0
kun,0.0
agd,0.0
yad,0.0
thd,0.0
wya,3.0
ddj,0.0
kgq,3.0
hix,0.0
agg,3.0
urd,0.0
alp,1.0
sid,0.0
var,0.0
buu,3.0
sei,2.0
mzh,0.0
urt,1.0
pia,0.0
mgf,2.0
mbb,2.0
tem,3.0
cof,0.0
lac,0.0
buo,0.0
kwa,0.0
waq,3.0
kdj,0.0
yaq,0.0
kmh,0.0
teo,3.0
sbc,2.0
sdp,0.0
nia,2.0
shp,0.0
sag,1.0
uby,0.0
shs,1.0
tna,0.0
krc,0.0
chp,2.0
yns,2.0
apy,0.0
plt,2.0
huv,3.0
irh,2.0
kir,0.0
kza,0.0
mzm,4.0
hak,0.0
blb,0.0
mym,0.0
wgy,0.0
plu,0.0
pam,3.0
par,0.0
fuu,2.0
arr,1.0
mfc,2.0
tbl,2.0
mhr,0.0
tqw,0.0
nrb,0.0
mme,1.0
zav,2.0
mpk,1.0
vay,0.0
ktg,0.0
huz,0.0
wnu,0.0
cko,3.0
tus,3.0
acv,0.0
nhg,0.0
brh,0.0
ljp,1.0
kot,2.0
xsi,1.0
trc,2.0
btx,0.0
gbd,0.0
mky,2.0
sme,0.0
suv,0.0
bag,2.0
khd,0.0
les,2.0
tdn,2.0
yok,0.0
bsn,0.0
khk,0.0
aty,1.0
hla,0.0
mni,0.0
kut,1.0
yrb,0.0
lgg,2.0
klj,0.0
mgu,0.0
dju,3.0
shj,3.0
kyh,0.0
enn,4.0
hmt,3.0
mgd,0.0
mos,0.0
usa,0.0
nju,0.0
asm,0.0
kln,3.0
cbi,0.0
gmm,0.0
chb,0.0
kjj,0.0
xtc,2.0
nya,2.0
ixl,2.0
kig,1.0
nig,0.0
mnc,0.0
kal,0.0
hke,2.0
tay,3.0
aiw,0.0
nut,1.0
mas,3.0
laz,2.0
bsk,0.0
mhi,4.0
chx,0.0
are,0.0
lao,1.0
nup,1.0
xac,0.0
tmd,0.0
nob,0.0
acm,3.0
inh,0.0
fqs,0.0
wba,0.0
fon,1.0
cho,0.0
mhk,2.0
tbi,0.0
khq,1.0
kfz,0.0
ori,0.0
sba,1.0
iai,1.0
pym,0.0
nab,0.0
sgw,3.0
grt,0.0
ale,0.0
bvr,0.0
nce,0.0
mjw,0.0
niy,0.0
pma,2.0
kwk,0.0
tlb,3.0
bmi,3.0
rmt,0.0
lmc,3.0
sbe,0.0
wsk,0.0
ram,1.0
huu,0.0
cir,1.0
mjk,0.0
lea,3.0
ndt,3.0
eve,0.0
mhu,0.0
mcn,4.0
tcf,2.0
fut,1.0
ngo,3.0
skj,0.0
set,0.0
bgr,1.0
tro,0.0
thf,0.0
kpw,0.0
kay,0.0
skv,4.0
eky,1.0
tzo,3.0
tea,2.0
zaw,2.0
sll,0.0
laj,4.0
pid,0.0
nsz,0.0
opm,0.0
bdm,2.0
kbh,2.0
mcd,0.0
mrc,0.0
axb,0.0
gvn,0.0
ulk,3.0
asa,2.0
nso,3.0
zro,0.0
dbl,0.0
mor,2.0
djj,3.0
yuf,0.0
tty,0.0
heb,3.0
zmr,1.0
blc,0.0
kbd,3.0
mqf,0.0
xub,0.0
kng,3.0
csz,0.0
fla,3.0
amo,2.0
tya,0.0
gae,0.0
psa,0.0
wbv,0.0
dmk,0.0
gvf,0.0
mmn,3.0
mkd,0.0
ihp,0.0
gyd,0.0
gbu,0.0
esu,0.0
mdq,3.0
pan,0.0
zul,2.0
krs,3.0
apu,0.0
any,2.0
kpj,0.0
abt,0.0
paw,0.0
cod,1.0
kos,1.0
nyv,3.0
mch,0.0
mns,0.0
gug,1.0
mdi,1.0
cao,0.0
tbh,0.0
gvs,2.0
mam,2.0
amp,0.0
mxj,0.0
cid,0.0
drl,0.0
yuy,0.0
gww,0.0
bmr,0.0
msu,2.0
mkj,3.0
gru,3.0
der,0.0
mnw,1.0
kbl,0.0
wib,2.0
xho,3.0
bjy,0.0
wol,1.0
kma,0.0
mtg,0.0
bvz,0.0
cbr,0.0
nrz,2.0
yur,1.0
ikx,0.0
tca,3.0
ote,2.0
snc,2.0
slp,1.0
pnw,0.0
plg,0.0
tcb,2.0
kfq,0.0
ung,1.0
gni,2.0
gil,2.0
puw,1.0
byr,0.0
tnc,0.0
tar,0.0
koi,0.0
kfy,0.0
pes,3.0
rao,0.0
pav,1.0
sel,0.0
apw,2.0
njo,0.0
ksd,1.0
nmd,2.0
yia,0.0
bot,2.0
njh,0.0
nzk,2.0
bak,0.0
uig,0.0
mva,0.0
yle,2.0
wmb,0.0
aoi,0.0
erk,1.0
tjm,0.0
dud,0.0
bri,2.0
xbr,1.0
som,0.0
zun,0.0
mau,2.0
jei,3.0
bud,3.0
eno,3.0
shi,2.0
chf,0.0
gup,3.0
tgc,1.0
amh,3.0
ksb,2.0
tnm,0.0
lbj,0.0
wgu,0.0
pst,0.0
nko,2.0
lui,0.0
ntp,0.0
srq,0.0
skd,0.0
had,1.0
aqc,0.0
mez,2.0
mqs,1.0
sat,0.0
tbg,0.0
tcg,0.0
zml,1.0
jaq,2.0
nyo,2.0
kjg,1.0
brm,2.0
aij,3.0
nuk,0.0
mpq,0.0
akc,1.0
xav,1.0
ava,0.0
ceb,2.0
lec,0.0
okv,0.0
mnk,0.0
cax,2.0
ncl,0.0
kbv,0.0
bdy,0.0
jae,2.0
sbs,2.0
lmn,0.0
itl,0.0
msj,2.0
mej,3.0
oym,0.0
bej,0.0
opt,0.0
afb,3.0
ghs,0.0
rou,0.0
tlc,3.0
sua,2.0
rmb,0.0
aun,0.0
kgr,1.0
poi,0.0
scl,0.0
ctp,2.0
mhj,0.0
ykg,0.0
dji,0.0
wrz,2.0
gym,0.0
ary,3.0
cap,0.0
apt,0.0
ntj,0.0
ewo,2.0
udm,0.0
ssd,0.0
tvo,1.0
sjg,0.0
for,0.0
ctd,1.0
tbo,2.0
boi,0.0
too,3.0
bmu,0.0
nll,0.0
yag,0.0
avu,0.0
baa,1.0
msy,0.0
rit,0.0
zay,0.0
djr,0.0
adj,2.0
crd,2.0
ard,0.0
ito,3.0
yii,0.0
kky,0.0
brg,0.0
ood,0.0
ogu,2.0
rap,1.0
pqa,0.0
dih,3.0
siw,0.0
shh,0.0
cbc,0.0
knm,0.0
rkb,3.0
mqy,1.0
arh,0.0
mpt,0.0
tvl,1.0
muz,3.0
anu,3.0
viv,2.0
pit,0.0
eme,0.0
peh,0.0
fub,0.0
dnj,0.0
kwy,3.0
ndv,0.0
loj,1.0
apq,0.0
sah,0.0
lez,0.0
faa,0.0
rut,3.0
zgb,1.0
chh,3.0
pib,0.0
moc,0.0
zpq,2.0
csy,1.0
dgz,0.0
nxn,0.0
bcm,2.0
wbl,0.0
aia,1.0
ncj,0.0
kwi,0.0
wyb,0.0
adi,0.0
otr,2.0
pau,2.0
tli,3.0
naq,1.0
bio,0.0
lif,0.0
urk,1.0
doo,0.0
ute,0.0
zne,2.0
tuo,0.0
byn,0.0
kld,0.0
mlv,2.0
tob,0.0
sue,0.0
one,3.0
lun,3.0
sku,3.0
mur,3.0
mcs,0.0
wim,0.0
mco,0.0
awi,0.0
ket,2.0
mik,3.0
swh,2.0
mbc,0.0
mpc,3.0
izz,3.0
woe,1.0
mrz,2.0
amn,0.0
tel,0.0
xsr,0.0
qvi,0.0
bcl,3.0
pao,0.0
azb,0.0
kpx,0.0
ycn,0.0
bbl,0.0
ank,1.0
sun,1.0
buf,2.0
moh,3.0
avt,1.0
bbd,0.0
kam,2.0
lnj,0.0
cop,1.0
luo,2.0
tzj,3.0
naf,0.0
abz,0.0
nak,3.0
awb,0.0
tac,0.0
pcc,1.0
dim,0.0
urb,1.0
ahk,1.0
ann,2.0
cmn,0.0
mnz,0.0
gyb,0.0
ong,0.0
yee,0.0
sur,1.0
lkt,0.0
snp,0.0
hia,3.0
xom,1.0
xal,0.0
kpy,3.0
yrk,0.0
twf,0.0
wwr,3.0
amk,1.0
gdq,3.0
lrg,3.0
pbb,0.0
hae,0.0
aly,0.0
lgu,1.0
nio,0.0
tah,1.0
isl,0.0
ppo,0.0
zik,2.0
kin,2.0
bvx,3.0
kxa,1.0
auw,3.0
osa,0.0
gso,3.0
est,0.0
srs,3.0
sst,0.0
guk,3.0
npa,0.0
sui,0.0
mkf,1.0
hmr,1.0
gah,0.0
lkr,2.0
klq,0.0
kqz,1.0
imn,0.0
iqu,0.0
css,0.0
rwa,1.0
kyz,0.0
bor,0.0
yor,1.0
qvh,0.0
kzw,0.0
chv,0.0
sad,0.0
wax,0.0
ijc,0.0
men,0.0
cui,0.0
bhw,1.0
kgs,0.0
kmo,0.0
oon,0.0
jig,0.0
nxg,1.0
tun,0.0
prx,0.0
kyc,0.0
dhv,1.0
svs,0.0
khm,1.0
van,1.0
vai,3.0
jqr,0.0
bex,1.0
ayc,0.0
iwm,2.0
ayz,1.0
gdm,3.0
pwn,3.0
nav,2.0
bom,2.0
gnr,0.0
bee,0.0
com,0.0
