ISO,Order_of_Genitive_and_Noun
sja,0.0
hmr,0.0
ygr,0.0
wnw,0.0
mib,1.0
pjt,0.0
taq,1.0
bia,0.0
huv,1.0
mpc,2.0
nav,0.0
npa,0.0
tuk,0.0
aoi,2.0
ctd,0.0
van,2.0
kgo,1.0
wib,0.0
arv,1.0
toi,1.0
tcb,0.0
bca,0.0
klu,0.0
cid,0.0
mdd,1.0
nig,2.0
bco,0.0
ayo,0.0
cao,0.0
jae,0.0
ace,1.0
yaq,0.0
dds,0.0
mmn,1.0
cku,0.0
dta,0.0
ybi,0.0
bom,1.0
ras,1.0
sna,1.0
njb,0.0
buh,0.0
acm,1.0
njz,0.0
ane,2.0
sce,0.0
urd,0.0
ssd,0.0
mqy,1.0
faa,0.0
gvs,0.0
cco,1.0
kij,0.0
bpu,0.0
urk,1.0
okv,0.0
bej,0.0
trc,1.0
khm,1.0
xer,0.0
khe,0.0
avu,2.0
zmu,0.0
khk,0.0
yul,1.0
mco,0.0
mdw,1.0
ain,0.0
wol,1.0
hnh,0.0
brb,1.0
koi,0.0
slp,2.0
ign,1.0
koy,0.0
pej,0.0
nym,1.0
kot,1.0
cnh,0.0
blc,1.0
kal,0.0
mso,0.0
chr,0.0
gww,0.0
ssw,1.0
tel,0.0
par,0.0
kjq,0.0
dga,0.0
yor,1.0
kpm,1.0
loj,1.0
trw,0.0
bim,0.0
nen,1.0
los,1.0
tee,1.0
agq,1.0
mgf,0.0
yap,1.0
bni,1.0
yrk,0.0
mhx,0.0
tml,0.0
ssn,1.0
teu,1.0
dau,1.0
xom,1.0
set,0.0
huz,0.0
mhs,0.0
emi,1.0
uby,0.0
mar,0.0
tem,1.0
lif,0.0
tac,0.0
mnf,1.0
aca,0.0
csz,2.0
fqs,0.0
vaf,1.0
klj,0.0
rmw,0.0
rut,0.0
khg,0.0
gvf,0.0
wrr,2.0
wnu,0.0
min,1.0
tll,1.0
yad,0.0
jbu,1.0
mdm,1.0
hke,1.0
laz,0.0
bqp,0.0
ote,1.0
yok,0.0
gym,0.0
gbr,0.0
mbj,0.0
gyd,0.0
pao,0.0
ijc,0.0
kyh,0.0
lol,1.0
buu,1.0
kny,1.0
gso,1.0
lln,2.0
kbv,0.0
plh,0.0
jar,1.0
mrh,0.0
knm,0.0
ntp,0.0
yrb,0.0
brg,1.0
gae,1.0
lep,0.0
skd,2.0
bcl,2.0
ibd,0.0
urt,1.0
erk,1.0
niv,0.0
niu,1.0
bsc,1.0
sue,0.0
anz,2.0
arr,0.0
dnj,0.0
ycn,0.0
jig,1.0
laj,1.0
siw,0.0
kkl,0.0
uur,1.0
nyj,1.0
srq,0.0
eip,0.0
coe,0.0
sov,1.0
amp,0.0
pan,0.0
nas,2.0
coo,1.0
tbg,0.0
kao,0.0
aph,0.0
gil,1.0
nbi,0.0
mme,1.0
apy,0.0
ngo,1.0
skf,0.0
awb,0.0
emp,0.0
kfy,0.0
xwg,1.0
heb,1.0
bgr,0.0
pip,1.0
nrb,0.0
pam,1.0
bng,1.0
mrz,0.0
sza,1.0
any,0.0
wbv,0.0
plg,1.0
bod,0.0
xaw,2.0
dje,0.0
dhi,0.0
pcc,1.0
bin,1.0
mpm,1.0
shj,1.0
osa,0.0
chq,1.0
mig,1.0
uli,0.0
dbl,0.0
oma,0.0
lgg,0.0
zul,1.0
tob,1.0
kwi,0.0
iai,1.0
woa,0.0
thp,0.0
roh,1.0
yuj,0.0
gaj,0.0
mjg,0.0
opm,0.0
bdh,1.0
ava,0.0
tiw,0.0
aja,1.0
mvf,0.0
jup,0.0
lwo,1.0
mls,1.0
mzm,2.0
pav,1.0
cav,0.0
ptp,0.0
moj,1.0
cas,0.0
kzw,1.0
ral,0.0
drd,0.0
vma,2.0
hei,1.0
bug,1.0
qui,1.0
adt,0.0
byr,0.0
izz,1.0
ksq,1.0
mif,1.0
sps,1.0
css,0.0
mbc,0.0
xed,1.0
gqa,1.0
ood,2.0
scl,0.0
ito,2.0
yuc,0.0
xnz,0.0
nnk,0.0
aun,2.0
cgg,1.0
tuv,1.0
lbu,0.0
zoc,0.0
bhw,0.0
cab,1.0
tiv,1.0
ahk,0.0
wed,0.0
sob,0.0
grt,0.0
qvi,0.0
som,2.0
ndv,1.0
laf,2.0
aqc,0.0
nnb,1.0
zag,2.0
jei,0.0
apq,0.0
pes,1.0
wwr,0.0
rap,1.0
nmf,0.0
zaw,1.0
mqs,0.0
arw,0.0
otr,1.0
mie,1.0
dju,0.0
tap,1.0
pid,0.0
bid,1.0
kbd,0.0
mfc,0.0
mor,1.0
aia,1.0
zun,0.0
yon,0.0
arb,1.0
fla,1.0
smr,1.0
hla,1.0
kjj,0.0
lww,1.0
ncb,1.0
hna,1.0
lbj,0.0
eky,0.0
oaa,0.0
gde,1.0
lml,1.0
tft,0.0
mbb,1.0
abz,0.0
snf,1.0
avt,2.0
qvh,0.0
had,0.0
ayc,0.0
sen,0.0
bho,0.0
tsi,1.0
njh,0.0
wwa,0.0
auc,0.0
tir,2.0
snq,1.0
pym,1.0
erg,1.0
cax,1.0
mhr,0.0
dgl,0.0
tya,0.0
kmn,0.0
nup,1.0
lil,1.0
ude,0.0
bdm,1.0
mjd,0.0
llp,1.0
gta,1.0
zro,0.0
mzh,0.0
niy,0.0
xbi,1.0
aty,1.0
xam,0.0
kgq,2.0
tlb,0.0
mus,0.0
txx,1.0
jqr,0.0
snn,0.0
cmn,0.0
kpj,0.0
kmh,0.0
kha,1.0
tsg,1.0
kre,0.0
djr,2.0
mil,1.0
bum,1.0
nso,1.0
bdr,1.0
dip,1.0
ney,0.0
tbi,1.0
teo,1.0
xas,0.0
cle,1.0
wra,1.0
ikx,2.0
pit,0.0
mym,1.0
nmn,0.0
shb,0.0
lrg,1.0
too,1.0
dai,1.0
caq,1.0
oon,0.0
duu,0.0
sku,1.0
nhu,1.0
bdl,1.0
aij,1.0
bkk,0.0
mcn,1.0
gdq,1.0
sun,1.0
tmu,0.0
dus,0.0
pag,1.0
mwf,1.0
kpy,0.0
vay,0.0
tnl,1.0
apb,1.0
adx,0.0
moh,0.0
sme,0.0
wnd,1.0
baa,1.0
vif,1.0
var,0.0
bae,0.0
cof,0.0
pko,1.0
gug,0.0
zav,1.0
log,0.0
tmd,0.0
sdg,0.0
pqa,1.0
agg,0.0
ahg,0.0
nmd,1.0
shp,0.0
kla,0.0
mkz,2.0
xuu,0.0
pom,0.0
kqz,0.0
lkt,2.0
tsj,0.0
isl,1.0
ntj,0.0
tpj,0.0
acn,0.0
zmt,0.0
kwk,1.0
kwn,1.0
nsz,0.0
inh,0.0
moc,2.0
kgr,0.0
sip,0.0
bdu,1.0
cdm,0.0
nxg,1.0
sel,0.0
ega,0.0
djm,0.0
wme,0.0
nfl,1.0
luo,1.0
nya,1.0
tdh,0.0
ifm,1.0
ann,1.0
bcm,1.0
wam,1.0
dow,0.0
lez,0.0
aoj,1.0
sid,0.0
kup,0.0
bli,1.0
mrg,0.0
ank,1.0
agb,1.0
tvu,1.0
ywr,1.0
fun,0.0
zen,1.0
ocu,2.0
arh,0.0
dar,0.0
viv,0.0
adj,0.0
lin,1.0
kgs,2.0
gru,0.0
kqi,0.0
gbp,1.0
tun,0.0
myp,0.0
lcm,1.0
tvo,0.0
irh,0.0
lui,0.0
ykg,0.0
jeb,1.0
wbl,0.0
fon,1.0
tcy,0.0
kio,0.0
swh,1.0
cod,0.0
sbe,0.0
kca,0.0
pss,2.0
pon,2.0
nlg,1.0
for,0.0
tay,1.0
ess,0.0
tna,0.0
skv,0.0
kto,1.0
sjr,1.0
cub,0.0
tik,1.0
pst,0.0
tsz,2.0
opt,0.0
cbi,0.0
mpk,1.0
nnm,0.0
khd,0.0
mnz,0.0
mal,0.0
lvk,0.0
mnx,0.0
oym,0.0
sey,0.0
mky,0.0
ulk,0.0
kwo,0.0
rab,0.0
hus,1.0
hae,1.0
ksd,1.0
udl,1.0
ute,0.0
tzj,1.0
kzj,1.0
ayz,2.0
zoh,0.0
aar,0.0
bkc,1.0
kui,0.0
mnr,0.0
wan,0.0
tgc,1.0
nyh,2.0
fuu,1.0
shk,1.0
bjy,0.0
chf,1.0
chb,0.0
tta,0.0
gvn,2.0
cha,1.0
lef,0.0
cop,1.0
hoc,0.0
udm,0.0
wlo,1.0
urf,0.0
hid,0.0
zmr,0.0
huc,0.0
yii,0.0
ctp,1.0
ddo,0.0
ung,2.0
gbd,2.0
tnd,0.0
tgo,0.0
